query,engine,position,url,title,snippet,source_type,cited_in_ai
evakuator xizmati,yandex,5,https://evakuator-tashkent.uz,Evakuator Xizmati 24/7 | 50.000 so'mdan,Nega aynan bizning evakuator xizmatimizni tanlashingiz kerak?. Toshkentda ko'plab evakuator xizmatlari mavjud ammo bizni tanlash sabablari:,organic,False
evakuator xizmati,yandex,6,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент | Цены ...,Эвакуаторы в Ташкенте круглосуточно (24 часа) срочно. Частные объявления по аренде эвакуатора. Цены за вызов. Номера телефонов.,organic,False
evakuator,google,1,,Эвакуатор в Ташкенте - EVAKUATOR.UZ - Google Business Profile (наш бизнес),Рейтинг 4.4 (14 отзывов). Услуги эвакуатора. Работает более 15 лет. Tashkent. Круглосуточно. 94 666 66 63. Обслуживание на месте.,business_profile,False
evakuator,google,2,,Эвакуатор Ташкент | Evakuator xizmati - Google Business Profile (конкурент),Рейтинг 4.0 (11 отзывов). Транспортные услуги. Работает более 3 лет. Tashkent. Круглосуточно. 88 233 33 32.,business_profile,False
evakuator,google,3,,Evakuator 1331 - Google Business Profile (конкурент),Рейтинг 4.4 (16 отзывов). Логистические услуги. Tashkent.,business_profile,False
evakuator,google,1,https://m.olx.uz,эвакуатор в Ташкент,OLX - сервис объявлений Ташкент - эвакуатор. Эвакуатор Юнусабад за 15 минут | Evakuator xizmati Yunusobod 15 minut. Evakuator xizmati | услуга эвакуатора | ...,organic,False
эвакуатор ташкент,google,1,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент,"Эвакуаторы в Ташкенте круглосуточно (24 часа), срочно. Частные объявления по аренде эвакуатора. Цены за вызов. Номера телефонов. От 10,00 UZS до 599 000,00 UZS. 5.0 (38 отзывов)",organic,False
эвакуатор ташкент,google,2,https://m.olx.uz,эвакуатор в Ташкент,OLX - сервис объявлений Ташкент - эвакуатор. Показать полностью. Мы нашли 998 объявлений. Галерея Список Плитка. Эвакуатор Юнусабад за 15 минут | Evakuator ...,organic,False
эвакуатор ташкент,google,3,https://evakuator-tashkent.uz,Эвакуатор в Ташкенте 24/7 от 50.000 сум,"Наша компания предлагает широкий спектр услуг по эвакуации автомобилей всех типов, включая легковые, грузовые, и мотоциклы. Мы понимаем, что аварии и ...",organic,False
эвакуатор в ташкенте,google,1,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент,"Эвакуаторы в Ташкенте круглосуточно (24 часа), срочно. Частные объявления по аренде эвакуатора. Цены за вызов. Номера телефонов.",organic,False
эвакуатор в ташкенте,google,2,https://evakuator-tashkent.uz,Эвакуатор в Ташкенте 24/7 от 50.000 сум,"Наша компания предлагает широкий спектр услуг по эвакуации автомобилей всех типов, включая легковые, грузовые, и мотоциклы. Мы понимаем, что аварии и ...",organic,False
эвакуатор в ташкенте,google,3,https://m.olx.uz,эвакуатор в Ташкент,OLX - сервис объявлений Ташкент - эвакуатор. Показать полностью. Мы нашли 998 объявлений. Галерея Список Плитка. Эвакуатор Юнусабад за 15 минут | Evakuator ...,organic,False
эвакуатор в ташкенте,google,0,https://evakuator.uz,"Эвакуатор в Ташкенте - EVAKUATOR.UZ (Google Business Profile, наш бизнес)","Рейтинг 4.4 (14 отзывов в Google). Услуги эвакуатора в Ташкенте. Адрес: Мирзо-Улугбекский р-он, ул. Ж. Обидовой 9, 25, Tashkent. Телефон: 94 666 66 63. Часы: Круглосуточно. Обслуживаемая территория: Ташкент и окрестности. Также показан виджет 'Отзывы в интернете' со ссылкой на Перевозка-24 UZ (38 отзывов) — возможно смешение данных с другим бизнесом, требует проверки в самой карточке.",business_profile,False
эвакуатор в ташкенте,google,0,,Вопросы по теме (People Also Ask),Сколько стоят услуги эвакуатора в Ташкенте? / Сколько берёт эвакуатор за 1 км? / Какой номер справочной службы в Ташкенте?,paa,False
эвакуатор ташкент цена,yandex,1,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент | Цены ...,"Эвакуаторы в Ташкенте круглосуточно (24 часа), срочно. Частные объявления по аренде эвакуатора. Цены за вызов. Номера телефонов.",organic,False
эвакуатор ташкент цена,yandex,2,https://olx.uz,услуги эвакуатора - Купить спецтехнику бу и новую Ташкент,услуги эвакуатора — большой ассортимент новой и б/у спецтехники Ташкент. Конкурентные цены и выгодные предложения. Продавайте и покупайте...,organic,False
эвакуатор ташкент цена,yandex,3,https://166.uz,Цена эвакуатора в Ташкенте 2026 — от 150 000 сум | 166 Express,"Сколько стоит вызвать эвакуатор в Ташкенте? Цены за км, тарифы по типам авто, ночные расценки. Полный прайс-лист 166 Express + калькулятор.",organic,False
эвакуатор ташкент цена,yandex,4,https://evakuator-tashkent.uz,Эвакуатор в Ташкенте 24/7 от 50.000 сум,Эвакуатор в Ташкенте. от 50.000сум. Приедем через 20 минут. Фиксированная цена.,organic,False
эвакуатор ташкент цена,yandex,5,https://auto.ustabor.uz,Стоимость услуг эвакуатора в Ташкенте - Ustabor.uz,"Цены... Эвакуаторы. Стоимость услуг эвакуатора. В случае нарушения водителем правил ПДД, поломки или аварии автомобиля, вызывается эвакуатор. 3.4 (19 отзывов на агрегаторе)",organic,False
эвакуатор ташкент цена,yandex,6,https://yandex.uz,Вызвать эвакуатор Toshkentda menga yaqin xaritada: narxlar...,Вызвать эвакуатор Toshkentda: joylarni narxlar reyting sharhlar foto bo'yicha tanlash ish rejimini bilish kontaktlar va qanday borish yoki piyoda yurish – Yandex Maps ilovasida...,organic,False
эвакуатор ташкент цена,yandex,1,,Evakuator.uz - map pack (наш бизнес),Рейтинг 4.2 (3 отзыва). Круглосуточно. 7 км ул. Шахриабад 9. Буюк Ипак Йули 3.2 км.,local_pack,False
эвакуатор ташкент цена,yandex,2,,Evakuator 1331 - map pack (конкурент),Рейтинг 4.5 (4 отзыва). Круглосуточно. 9 км Чиланзар 1.26 км. Эвакуатор от 10... 100 000 сум. Эвакуатор 18 то... 100 000 сум.,local_pack,False
эвакуатор ташкент цена,yandex,3,,Pro-auto - map pack (конкурент),"Рейтинг 4.7 (8 отзывов, верифицирован). Круглосуточно. 4 км ул. Мирз... Буюк Ипак Йули...",local_pack,False
эвакуатор ташкент цена,google,1,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент,"Эвакуатор хизмати, 100000 сум, Atxamov Olimjon; Услуги эвакуатора Mercedes, 600000 сум/за эвакуацию, Muxriddin; Услуги эвакуатора, не дорого, 250000 сум/за ...",organic,False
эвакуатор ташкент цена,google,2,https://m.olx.uz,эвакуатор в Ташкент,OLX - сервис объявлений Ташкент - эвакуатор. Показать полностью. Мы нашли 998 объявлений...,organic,False
эвакуатор ташкент цена,google,0,https://166.uz,Обзор от ИИ (Google AI Overview) — источник цитирования,Услуги эвакуатора в Ташкенте в среднем стоят от 150 000 сумов по городу за базовый тариф. Цены по типу транспорта: Мотоцикл — от 100 000 сумов; Легковой автомобиль — от 150 000 сумов; Внедорожник/кроссовер — от 200 000 сумов; Грузовой до 5т — от 400 000 сумов.,ai_overview_citation,True
услуги эвакуатора,google,1,https://m.olx.uz,эвакуатор в Ташкент,OLX - сервис объявлений Ташкент - эвакуатор. Показать полностью. Мы нашли 998 объявлений. ГалереяСписок Плитка. Эвакуатор Юнусабад за 15 минут | Evakuator ...,organic,False
услуги эвакуатора,google,2,https://perevozka24.uz,Вызвать эвакуатор рядом с Вами — Ташкент,"Эвакуация по городу и Узбекистану. Эвакуируем любую машину и груз. С нами надежно, быстро, дешево. Работаем круглосуточно! Выезд 15 минут. Эвакуатор хизмати ...",organic,False
услуги эвакуатора,google,0,https://olx.uz,Обзор от ИИ (Google AI Overview) — источник цитирования (OLX Uzbekistan +2),"Услуги эвакуатора в Ташкенте в среднем стоят от 150 000 сумов по городу, время подачи машины составляет в среднем 15-30 минут, а службы работают круглосуточно.",ai_overview_citation,True
услуги эвакуатора,google,0,https://166.uz,Обзор от ИИ (Google AI Overview) — источник цитирования (цены по типам),Цены по типу транспорта: Мотоцикл — от 100 000 сумов; Легковой автомобиль — от 150 000 сумов; Внедорожник/кроссовер — от 200 000 сумов; Грузовик до 5т — от 400 000 сумов.,ai_overview_citation,True
